source,title,url,author,publish_time,hash,category,excerpt,scraped_at
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,"With ‘F1’, Apple finally has a theatrical hit",https://techcrunch.com/2025/06/29/with-f1-apple-finally-has-a-theatrical-hit/,Anthony Ha,2025-06-29 09:35,6fe2603d85210414bacc6a41e0edffd1,,,2025-06-30 20:58:27
TechCrunch,Anthropic’s Claude AI became a terrible business owner in experiment that got ‘weird’,https://techcrunch.com/2025/06/28/anthropics-claude-ai-became-a-terrible-business-owner-in-experiment-that-got-weird/,Julie Bort,2025-06-28 09:00,ea55074a669a5f2770475f0fe12a7482,,,2025-06-30 20:58:27
TechCrunch,"FBI, cybersecurity firms say a prolific hacking crew is now targeting airlines and the transportation sector",https://techcrunch.com/2025/06/28/fbi-cybersecurity-firms-say-scattered-spider-hackers-now-targeting-airlines-transportation-sector/,Zack Whittaker,Unknown,34a56ef5b1e361bc6b155c671e3c8282,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,Unknown,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,Unknown,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Vitalik Buterin has reservations about Sam Altman’s World project,https://techcrunch.com/2025/06/28/vitalik-buterin-has-reservations-about-sam-altmans-world-project/,Anthony Ha,Unknown,49e751c1380ecc8e61050f277f1335b0,,,2025-06-30 20:58:27
TechCrunch,SpaceX’s Starbase city officials silent on crane collapse,https://techcrunch.com/2025/06/27/spacexs-starbase-city-officials-silent-on-crane-collapse/,Sean O'Kane,Unknown,9890bd4f6cd9379506f0f5e62f83183f,,,2025-06-30 20:58:27
TechCrunch,Spotify revamps its Discover Weekly playlist after 10 years,https://techcrunch.com/2025/06/30/spotify-will-revamp-its-discover-weekly-playlist-after-ten-years/,Amanda Silberling,2025-06-30 03:00,e94cb0ed0fb57c2da77994e37157fea3,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,2025-06-29 13:16,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,2025-06-29 09:53,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,"With ‘F1’, Apple finally has a theatrical hit",https://techcrunch.com/2025/06/29/with-f1-apple-finally-has-a-theatrical-hit/,Anthony Ha,2025-06-29 09:35,6fe2603d85210414bacc6a41e0edffd1,,,2025-06-30 20:58:27
TechCrunch,Authors call on publishers to limit their use of AI,https://techcrunch.com/2025/06/28/authors-call-on-publishers-to-limit-their-use-of-ai/,Anthony Ha,2025-06-28 13:51,4b74c4db6930e517ef9220eae3798153,,,2025-06-30 20:58:27
TechCrunch,Meta reportedly hires four more researchers from OpenAI,https://techcrunch.com/2025/06/28/meta-reportedly-hires-four-more-researchers-from-openai/,Anthony Ha,2025-06-28 11:31,ae81c7c10efb0208c5be9d42ce66b164,,,2025-06-30 20:58:27
TechCrunch,Week in Review: Meta’s AI recruiting blitz,https://techcrunch.com/2025/06/28/week-in-review-metas-ai-recruiting-blitz/,Karyne Levy,2025-06-28 10:05,d9b70de590ca7653bc049e5ed26e93aa,,,2025-06-30 20:58:27
TechCrunch,Vitalik Buterin has reservations about Sam Altman’s World project,https://techcrunch.com/2025/06/28/vitalik-buterin-has-reservations-about-sam-altmans-world-project/,Anthony Ha,2025-06-28 09:28,49e751c1380ecc8e61050f277f1335b0,,,2025-06-30 20:58:27
TechCrunch,Anthropic’s Claude AI became a terrible business owner in experiment that got ‘weird’,https://techcrunch.com/2025/06/28/anthropics-claude-ai-became-a-terrible-business-owner-in-experiment-that-got-weird/,Julie Bort,2025-06-28 09:00,ea55074a669a5f2770475f0fe12a7482,,,2025-06-30 20:58:27
TechCrunch,Spotify revamps its Discover Weekly playlist after 10 years,https://techcrunch.com/2025/06/30/spotify-will-revamp-its-discover-weekly-playlist-after-ten-years/,Amanda Silberling,Unknown,e94cb0ed0fb57c2da77994e37157fea3,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,Unknown,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,Unknown,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,Unknown,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,"With ‘F1’, Apple finally has a theatrical hit",https://techcrunch.com/2025/06/29/with-f1-apple-finally-has-a-theatrical-hit/,Anthony Ha,Unknown,6fe2603d85210414bacc6a41e0edffd1,,,2025-06-30 20:58:27
TechCrunch,Authors call on publishers to limit their use of AI,https://techcrunch.com/2025/06/28/authors-call-on-publishers-to-limit-their-use-of-ai/,Anthony Ha,Unknown,4b74c4db6930e517ef9220eae3798153,,,2025-06-30 20:58:27
TechCrunch,Meta reportedly hires four more researchers from OpenAI,https://techcrunch.com/2025/06/28/meta-reportedly-hires-four-more-researchers-from-openai/,Anthony Ha,Unknown,ae81c7c10efb0208c5be9d42ce66b164,,,2025-06-30 20:58:27
TechCrunch,"WWDC 2025 live updates: iOS 26, Liquid Glass, Apple Intelligence updates, and everything else revealed",https://techcrunch.com/storyline/wwdc-2025-live-updates-a-fresh-look-for-ios-a-dedicated-gaming-app-and-more/,Unknown,2025-06-09 11:03,5761ec399616a288f38d095b7dc7031c,,,2025-06-30 20:58:27
TechCrunch,"Google I/O 2025 live coverage: Google AI Ultra, Project Mariner, Gemini app updates, and more",https://techcrunch.com/storyline/google-i-o-2025-live-coverage-google-ai-ultra-project-mariner-gemini-app-updates-and-more/,Unknown,2025-05-20 08:27,d5fd6cb1498f44e59d179b06e97dbd58,,,2025-06-30 20:58:27
TechCrunch,"Tesla earnings wrap up: Elon Musk talks DOGE, Trump and tariffs, robotaxis, AI, and cheap EVs",https://techcrunch.com/storyline/tesla-q1-earnings-live-updates/,Unknown,2025-04-22 12:17,0fe7401ff2855223cb126b2db38a584d,,,2025-06-30 20:58:27
TechCrunch,"Nvidia GTC 2025 live updates: Blackwell Ultra, GM partnerships, and two ‘personal AI supercomputers’",https://techcrunch.com/storyline/nvidia-gtc-2025-live-updates-blackwell-ultra-gm-partnerships-and-two-personal-ai-supercomputers/,Unknown,2025-03-17 06:14,3f5061c6860b4bbe35b15b426db0eae6,,,2025-06-30 20:58:27
TechCrunch,"SXSW 2025 live coverage: Health tips from Bryan Johnson, concerns about Elon Musk, and what it’s like to actually ride a Waymo Uber on the conference’s final day",https://techcrunch.com/storyline/sxsw-2025-live-coverage-health-tips-from-bryan-johnson-concerns-about-elon-musk-and-what-its-like-to-actually-ride-a-waymo-uber-on-the-conferences-final-day/,Unknown,2025-03-07 13:44,8de5d0306ec7e8186f2c3e3624c32b61,,,2025-06-30 20:58:27
TechCrunch,"Alphabet earnings live updates: AI, Gemini 2.0, Google Cloud, and more",https://techcrunch.com/storyline/alphabet-earnings-live-updates-ai-gemini-2-0-google-cloud-and-more/,Unknown,2025-02-04 07:10,b27b238e0158e8a3d57261bf72578613,,,2025-06-30 20:58:27
TechCrunch,Tesla earnings live updates: Promising ‘return to growth’ and cheaper cars,https://techcrunch.com/storyline/tesla-earnings-live-updates-elon-new-evs-ai-and-more/,Unknown,2025-01-29 07:21,d40dc873f999a91162c53d283b055a5f,,,2025-06-30 20:58:27
TechCrunch,"Samsung Unpacked 2025 live updates: Galaxy S25, new AI features, and more",https://techcrunch.com/storyline/samsung-unpacked-2025-live-updates-galaxy-s25-new-ai-features-and-more/,Unknown,2025-01-22 09:19,8ba08d7aee0d3fb2feeb22c51c26a6fe,,,2025-06-30 20:58:27
TechCrunch,TechCrunch All Stage 2025,https://techcrunch.com/events/techcrunch-all-stage-2025/,Unknown,Unknown,857f23c58e57c8c4e7793bc842a1c64a,,,2025-06-30 20:58:27
TechCrunch,TechCrunch Disrupt 2025,https://techcrunch.com/events/tc-disrupt-2025/,Unknown,Unknown,60d0d0d27e12f78d0908bec41cf633f2,,,2025-06-30 20:58:27
TechCrunch,StrictlyVC Palo Alto,https://techcrunch.com/events/strictlyvc-palo-alto/,Unknown,Unknown,978f468f4db9bcd34d739275c8c0f3a0,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,2025-06-29 13:16,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Rob Biederman will help founders rethink how to scale at TechCrunch All Stage 2025,https://techcrunch.com/2025/06/27/at-techcrunch-all-stage-2025-rob-biederman-will-help-founders-rethink-how-to-scale/,TechCrunch Events,2025-06-27 16:40,1db1212d5a9cf8a625820322b055ac58,,,2025-06-30 20:58:27
TechCrunch,Only 2 exhibitor tables up for grabs at TechCrunch All Stage — claim by June 29,https://techcrunch.com/2025/06/27/only-2-exhibitor-tables-up-for-grabs-at-techcrunch-all-stage-claim-by-june-29/,TechCrunch Events,2025-06-27 13:15,5ffbe64eb699aabb6b77bcbcb15244ae,,,2025-06-30 20:58:27
TechCrunch,What comes after Twitter and Meta? The founders of 01A share their playbook at TechCrunch Disrupt 2025,https://techcrunch.com/2025/06/27/what-comes-after-twitter-and-meta-the-founders-of-01a-share-their-playbook-at-techcrunch-disrupt-2025/,TechCrunch Events,2025-06-27 11:40,41fff3a9180364cc98d071ebda27f173,,,2025-06-30 20:58:27
TechCrunch,TechCrunch All Stage 2025 welcomes Boldstart partner Ellen Chisa to talk early-stage enterprise bets,https://techcrunch.com/2025/06/27/techcrunch-all-stage-2025-welcomes-boldstart-partner-ellen-chisa-to-talk-early-stage-enterprise-bets/,TechCrunch Events,2025-06-27 11:05,facbe08161fda562040d6622ed5f556d,,,2025-06-30 20:58:27
TechCrunch,What the next generation of AI natives mean for founders and funders,https://techcrunch.com/video/what-the-next-generation-of-ai-natives-mean-for-founders-and-funders/,TC Video,2025-06-20 16:43,25d0dc004cb9c03da374383af4d4d046,,,2025-06-30 20:58:27
TechCrunch,Katie Haun makes the case for tokenizing more of the world,https://techcrunch.com/video/katie-haun-makes-the-case-for-tokenizing-more-of-the-world/,TC Video,2025-06-19 16:43,3aed0b704254a9cf8841ad77a7f6b53f,,,2025-06-30 20:58:27
TechCrunch,Advice on making early bets from an investor who’s backed 60 successes,https://techcrunch.com/video/advice-on-making-early-bets-from-an-investor-whos-backed-60-successes/,TC Video,2025-06-19 16:43,57e539c4cbd56c7582bc955236bcd51d,,,2025-06-30 20:58:27
TechCrunch,Why Robinhood’s co-founder is betting on solar power from space,https://techcrunch.com/video/why-robinhoods-co-founder-is-betting-on-solar-power-from-space/,TC Video,2025-06-19 16:43,d6fc38fdd5de89854afbf29151756d9f,,,2025-06-30 20:58:27
TechCrunch,How AI chatbots keep people coming back,https://techcrunch.com/video/how-ai-chatbots-keep-people-coming-back/,TC Video,2025-06-17 08:39,301f10732bbf8c96666c600e2c737388,,,2025-06-30 20:58:27
TechCrunch,The AI policy playbook: What global startups need to know,https://techcrunch.com/video/the-ai-policy-playbook-what-global-startups-need-to-know/,TC Video,2025-06-09 08:02,f740957f1d1f125c26923c4d9869ebb2,,,2025-06-30 20:58:27
TechCrunch,Behind your firewall: secure generative AI for regulated enterprises,https://techcrunch.com/video/behind-your-firewall-secure-generative-ai-for-regulated-enterprises/,TC Video,2025-06-09 07:42,f0f436d4fa68b96ea8281f1cbe0ebe77,,,2025-06-30 20:58:27
TechCrunch,Suite AI: how SAP is bringing AI to the enterprise,https://techcrunch.com/video/suite-ai-how-sap-is-bringing-ai-to-the-enterprise/,TC Video,2025-06-09 07:31,aca509adeacb754639dde5270cd14b50,,,2025-06-30 20:58:27
TechCrunch,Anthropic’s Jared Kaplan Charts the Course for Enterprise AI,https://techcrunch.com/video/anthropics-jared-kaplan-charts-the-course-for-enterprise-ai/,TC Video,2025-06-06 15:09,683b1eb7f56f6ceb2a2bd0b81ea979d9,,,2025-06-30 20:58:27
TechCrunch,Building Your AI Engine: How OpenAI Works with Startups,https://techcrunch.com/video/building-your-ai-engine-how-openai-works-with-startups/,TC Video,2025-06-06 11:51,b2ab6d3fd03219df3b3b4064da8b8263,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,2025-06-29 13:16,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Authors call on publishers to limit their use of AI,https://techcrunch.com/2025/06/28/authors-call-on-publishers-to-limit-their-use-of-ai/,Anthony Ha,2025-06-28 13:51,4b74c4db6930e517ef9220eae3798153,,,2025-06-30 20:58:27
TechCrunch,Meta reportedly hires four more researchers from OpenAI,https://techcrunch.com/2025/06/28/meta-reportedly-hires-four-more-researchers-from-openai/,Anthony Ha,2025-06-28 11:31,ae81c7c10efb0208c5be9d42ce66b164,,,2025-06-30 20:58:27
TechCrunch,Anthropic’s Claude AI became a terrible business owner in experiment that got ‘weird’,https://techcrunch.com/2025/06/28/anthropics-claude-ai-became-a-terrible-business-owner-in-experiment-that-got-weird/,Julie Bort,2025-06-28 09:00,ea55074a669a5f2770475f0fe12a7482,,,2025-06-30 20:58:27
TechCrunch,"FBI, cybersecurity firms say a prolific hacking crew is now targeting airlines and the transportation sector",https://techcrunch.com/2025/06/28/fbi-cybersecurity-firms-say-scattered-spider-hackers-now-targeting-airlines-transportation-sector/,Zack Whittaker,2025-06-28 06:30,34a56ef5b1e361bc6b155c671e3c8282,,,2025-06-30 20:58:27
TechCrunch,"US, French authorities confirm arrest of BreachForums hackers",https://techcrunch.com/2025/06/26/us-french-authorities-confirm-arrest-of-breachforums-hackers/,Lorenzo Franceschi-Bicchierai,2025-06-26 09:28,1367b445309e61b925ae5b2c179d5f7b,,,2025-06-30 20:58:27
TechCrunch,Homeland Security warns of Iran-backed cyberattacks targeting US networks,https://techcrunch.com/2025/06/26/homeland-security-warns-of-iran-backed-cyberattacks-targeting-us-networks/,Zack Whittaker,2025-06-26 09:20,7cce5411a48bfb9b57054598b06b7cb8,,,2025-06-30 20:58:27
TechCrunch,Ring cameras and doorbells now use AI to provide specific descriptions of motion activity,https://techcrunch.com/2025/06/25/ring-cameras-and-doorbells-now-use-ai-to-provide-specific-descriptions-of-motion-activity/,Lauren Forristal,2025-06-25 06:00,3f6829effd1160c2e871cd5cce88e0ca,,,2025-06-30 20:58:27
TechCrunch,US House bans WhatsApp from staff devices,https://techcrunch.com/2025/06/24/us-bans-whatsapp-from-house-of-representatives-staff-devices/,Ram Iyer,2025-06-24 04:30,4dc5fd636b0282cf8453506e957b7dc1,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,Jesse Draper’s Halogen Ventures closes $30M Fund III to focus on ‘future of family’,https://techcrunch.com/2025/06/27/jesse-drapers-halogen-ventures-closes-30m-fund-iii-to-focus-on-future-of-family/,Dominic-Madori Davis,2025-06-27 13:23,595f83bec16e117722cb0def0759d355,,,2025-06-30 20:58:27
TechCrunch,Only 2 exhibitor tables up for grabs at TechCrunch All Stage — claim by June 29,https://techcrunch.com/2025/06/27/only-2-exhibitor-tables-up-for-grabs-at-techcrunch-all-stage-claim-by-june-29/,TechCrunch Events,2025-06-27 13:15,5ffbe64eb699aabb6b77bcbcb15244ae,,,2025-06-30 20:58:27
TechCrunch,What comes after Twitter and Meta? The founders of 01A share their playbook at TechCrunch Disrupt 2025,https://techcrunch.com/2025/06/27/what-comes-after-twitter-and-meta-the-founders-of-01a-share-their-playbook-at-techcrunch-disrupt-2025/,TechCrunch Events,2025-06-27 11:40,41fff3a9180364cc98d071ebda27f173,,,2025-06-30 20:58:27
